2182.820000000007
('7', '7457')
('92', '8872')
('172', '3601')
('218', '9848')
('234', '3525')
('322', '7540')
('327', '8851')
('356', '9230')
('532', '4752')
('568', '7174')
('597', '5856')
('639', '693')
('882', '1797')
('927', '4156')
('982', '8993')
('997', '3935')
('1004', '3284')
('1047', '6931')
('1109', '9409')
('1128', '5287')
('1334', '5791')
('1373', '1528')
('1421', '8985')
('1554', '846')
('1715', '5149')
('1754', '7937')
('1893', '5784')
('1982', '9732')
('1998', '9763')
('2017', '6780')
('2059', '9592')
('2079', '6288')
('2103', '7839')
('2136', '1111')
('2199', '4077')
('2241', '9694')
('2277', '154')
('2308', '366')
('2315', '7049')
('2362', '4574')
('2398', '1391')
('2440', '3487')
('2475', '8927')
('2481', '5669')
('2622', '2477')
('2887', '193')
('2962', '1890')
('2963', '3853')
('2997', '3766')
('3027', '166')
('3078', '2190')
('3109', '7884')
('3195', '7134')
('3197', '563')
('3409', '7274')
('3422', '1480')
('3457', '5879')
('3562', '3276')
('3590', '4840')
('3622', '9270')
('3632', '5440')
('3663', '4634')
('3671', '7525')
('3708', '869')
('3736', '9801')
('3744', '3337')
('3842', '1888')
('3916', '1640')
('4009', '1252')
('4203', '5284')
('4209', '4718')
('4359', '6882')
('4480', '2392')
('4635', '1162')
('4743', '1373')
('4756', '3539')
('4762', '245')
('4790', '958')
('4885', '3994')
('4903', '6498')
('4909', '9501')
('5041', '3078')
('5057', '6524')
('5173', '7434')
('5224', '3280')
('5285', '3363')
('5316', '1794')
('5417', '5268')
('5429', '6780')
('5468', '4561')
('5482', '9001')
('5727', '3250')
('5783', '9166')
('5806', '7730')
('5857', '6571')
('5858', '133')
('5872', '6692')
('5894', '4402')
('6031', '5650')
('6090', '1311')
('6122', '8120')
('6123', '6118')
('6181', '3879')
('6181', '7960')
('6233', '4569')
('6247', '511')
('6258', '7845')
('6342', '6924')
('6388', '3026')
('6453', '86')
('6488', '5295')
('6491', '979')
('6641', '8903')
('6773', '9648')
('6785', '4061')
('6863', '4902')
('6967', '4287')
('7024', '2429')
('7134', '5228')
('7226', '6247')
('7233', '1861')
('7250', '1292')
('7285', '8879')
('7287', '8895')
('7358', '6433')
('7416', '9487')
('7548', '1947')
('7585', '9038')
('7609', '2397')
('7927', '7827')
('7960', '4764')
('8028', '617')
('8052', '9993')
('8064', '8688')
